subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,loss
128,16,128,32,256,16,16,1e-05,21.131072998046875,False,Not Completed,NA
128,32,64,64,256,64,8,0.001,32.509002685546875,False,Not Completed,NA
128,32,8,128,32,32,256,1e-05,20.960174560546875,False,Not Completed,NA
128,8,8,256,32,32,16,0.001,22.370330810546875,False,Not Completed,NA
128,4,256,32,64,8,8,0.0001,20.731658935546875,False,Not Completed,NA
64,8,8,64,32,16,128,0.001,1.653533935546875,False,Not Completed,NA
64,4,64,32,32,16,32,0.001,3.703338623046875,False,Not Completed,NA
32,2,32,256,128,8,64,0.001,85.37619018554688,False,Not Completed,NA
128,8,32,16,32,8,256,1e-05,0.856170654296875,False,Not Completed,NA
32,8,256,32,128,32,8,0.0001,24.919158935546875,False,Not Completed,NA
64,8,256,64,8,16,128,0.001,35.507049560546875,False,Not Completed,NA
64,4,8,32,64,32,32,1e-05,1.068572998046875,False,Not Completed,NA
128,4,8,16,64,8,64,0.0001,2.224334716796875,False,Not Completed,NA
64,32,64,256,128,64,128,1e-05,194.03244018554688,False,Not Completed,NA
64,8,8,128,16,64,128,5e-05,5.115447998046875,True,Completed,11674.615229640855
128,32,16,16,64,16,128,0.0001,2.428436279296875,False,Not Completed,NA
64,32,128,8,256,8,32,5e-05,5.579803466796875,False,Not Completed,NA
64,8,256,128,128,8,128,0.001,195.29415893554688,False,Not Completed,NA
64,32,64,256,128,64,128,0.0001,194.03244018554688,False,Not Completed,NA
32,2,32,64,256,64,128,5e-05,13.321502685546875,False,Not Completed,NA
32,16,8,64,128,32,8,0.001,3.132049560546875,False,Not Completed,NA
32,2,8,256,8,8,16,5e-05,21.126678466796875,False,Not Completed,NA
32,16,64,256,128,64,128,0.001,166.03244018554688,False,Not Completed,NA
128,4,32,8,8,8,128,5e-05,1.127410888671875,False,Not Completed,NA
32,1,32,128,16,64,256,0.0001,33.642303466796875,False,Not Completed,NA
64,16,16,64,128,16,64,5e-05,5.202362060546875,True,Completed,13788.504906425718
64,4,256,32,32,32,32,1e-05,13.172088623046875,False,Not Completed,NA
64,8,32,32,32,8,32,0.0001,1.742401123046875,True,Completed,12415.632627811749
32,1,32,64,16,16,256,5e-05,12.792449951171875,False,Not Completed,NA
128,64,64,64,32,32,64,0.0001,74.39962768554688,True,Completed,1520.1325963065028
32,1,128,64,128,64,64,0.0001,40.788543701171875,False,Not Completed,NA
64,8,64,256,64,32,64,5e-05,146.93087768554688,False,Not Completed,NA
32,2,32,64,32,64,128,5e-05,6.266815185546875,False,Not Completed,NA
64,4,8,32,8,32,8,1e-05,0.843475341796875,False,Not Completed,NA
64,16,8,16,32,16,128,5e-05,0.413787841796875,False,Not Completed,NA
64,4,256,32,32,8,8,1e-05,13.169158935546875,False,Not Completed,NA
32,8,8,64,16,8,16,1e-05,1.390838623046875,False,Not Completed,NA
128,4,16,16,128,8,64,0.001,2.682342529296875,False,Not Completed,NA
64,16,32,64,16,32,256,0.0001,5.807830810546875,False,Not Completed,NA
64,16,8,256,256,16,8,5e-05,28.938690185546875,False,Not Completed,NA
32,4,256,8,16,8,8,0.001,1.197967529296875,False,Not Completed,NA
64,8,32,128,128,8,128,0.0001,25.106658935546875,True,Completed,15112.913970216992
64,32,32,128,256,32,128,1e-05,48.641815185546875,True,Completed,13797.450501237763
128,32,8,32,128,32,32,0.001,4.822479248046875,True,Completed,1596.5667182798497
64,32,8,32,128,8,256,0.0001,4.842987060546875,False,Not Completed,NA
32,8,128,32,128,16,128,0.0001,12.527557373046875,False,Not Completed,NA
128,64,256,16,8,16,8,0.001,18.814178466796875,False,Not Completed,NA
64,16,128,256,64,16,64,0.0001,295.1496276855469,False,Not Completed,NA
64,2,8,256,32,32,32,1e-05,49.893768310546875,False,Not Completed,NA
128,64,32,64,256,32,32,1e-05,76.29806518554688,False,Not Completed,NA
64,2,16,256,64,8,256,0.0001,69.25900268554688,False,Not Completed,NA
32,16,16,32,128,16,128,1e-05,2.102752685546875,False,Not Completed,NA
64,4,256,64,8,32,256,5e-05,36.303924560546875,False,Not Completed,NA
128,8,8,64,128,8,128,5e-05,3.284393310546875,False,Not Completed,NA
32,8,128,256,256,16,32,5e-05,387.8058776855469,False,Not Completed,NA
128,4,16,32,256,16,64,0.001,6.617401123046875,False,Not Completed,NA
128,16,8,128,256,64,8,0.0001,10.571502685546875,False,Not Completed,NA
128,4,128,8,16,8,256,0.0001,1.603973388671875,False,Not Completed,NA
128,64,128,64,128,16,256,0.001,96.83712768554688,False,Not Completed,NA
32,1,32,64,256,32,16,0.001,20.292449951171875,False,Not Completed,NA
128,32,16,128,8,16,32,1e-05,24.670135498046875,False,Not Completed,NA
